alive,alive_since,anonymity,average_timeout,first_seen,ip_data_as,ip_data_asname,ip_data_city,ip_data_continent,ip_data_continentCode,ip_data_country,ip_data_countryCode,ip_data_district,ip_data_hosting,ip_data_isp,ip_data_lat,ip_data_lon,ip_data_mobile,ip_data_org,ip_data_proxy,ip_data_regionName,ip_data_status,ip_data_timezone,ip_data_zip,ip_data_last_update,last_seen,port,protocol,proxy,ssl,timeout,times_alive,times_dead,uptime,ip
true,1739412457.9982,elite,832.73510916777,1737989193.0921,"AS140726 UNICOM AnHui province network",UNICOM-HEFEI-MAN,Hefei,Asia,AS,China,CN,,false,"CNC Group CHINA169 AnHui province network",31.8206,117.229,false,,true,Anhui,success,Asia/Shanghai,230000,1739317304,1739413380.4331,8085,http,http://58.243.224.244:8085,false,767.91477203369,13290,3234,80.42846768337,58.243.224.244
true,1739411416.0168,elite,2541.056394577,1738513324.5858,"AS36666 GloboTech Communications",GTCOMM,Montreal,"North America",NA,Canada,CA,Ville-Marie,true,"GloboTech Communications",45.5049,-73.573,false,,true,Quebec,success,America/Toronto,H4X,1739135663,1739413379.911,5621,http,http://67.43.227.228:5621,false,717.45300292969,43,3216,1.3194231359313,67.43.227.228
true,1739412841.5795,elite,275.42678445443,1739084626.9679,"AS204997 FIRST SERVER LIMITED",FIRSTBYTE-AS,Moscow,Europe,EU,Russia,RU,,false,"First Server Limited",55.7487,37.6187,false,"Firstbyte Hosting",false,Moscow,success,Europe/Moscow,102209,1739084627,1739413379.8963,8080,http,http://45.144.64.153:8080,false,149.11389350891,3537,1278,73.457943925234,45.144.64.153
true,1739412450.5968,elite,1245.7553295861,1736016985.3613,"AS8075 Microsoft Corporation",MICROSOFT-CORP-MSN-AS-BLOCK,Amsterdam,Europe,EU,Netherlands,NL,,true,"Microsoft Corporation",52.3667,4.9,false,"Microsoft Azure Cloud (westeurope)",true,"North Holland",success,Europe/Amsterdam,1047,1739317423,1739413379.8319,3128,http,http://98.64.128.182:3128,false,120.46957015991,23295,19672,54.216026252706,98.64.128.182
true,1739413379.6413,anonymous,8166.1848964384,1739368541.9687,"AS8075 Microsoft Corporation",MICROSOFT-CORP-MSN-AS-BLOCK,Quincy,"North America",NA,"United States",US,,true,"Microsoft Corporation",47.233,-119.852,false,"Microsoft Azure Cloud (westus2)",false,Washington,success,America/Los_Angeles,98848,1739368550,1739413379.6413,3128,http,http://4.149.210.210:3128,false,411.22651100159,373,276,57.473035439137,4.149.210.210
true,1739377415.4339,elite,250.52620716393,1710559708.3421,"AS24940 Hetzner Online GmbH",HETZNER-AS,Helsinki,Europe,EU,Finland,FI,,true,"Hetzner Online GmbH",60.1719,24.9347,false,Hetzner,true,Uusimaa,success,Europe/Helsinki,00201,1739317265,1739413379.4288,80,http,http://135.181.154.225:80,false,280.51090240479,397685,64747,85.998590062971,135.181.154.225
true,1739404357.1404,elite,589.01644411741,1730512572.4542,"AS46997 Black Mesa Corporation",NATOLAB,"San Jose","North America",NA,"United States",US,,false,,37.3387,-121.8852,false,"Black Mesa Corporation",true,California,success,America/Los_Angeles,,1739317275,1739413379.4089,80,http,http://23.247.137.142:80,false,295.67432403564,54883,29463,65.068882934579,23.247.137.142
true,1739413379.3135,elite,943.9988907572,1730218086.8192,"AS45102 Alibaba (US) Technology Co., Ltd.",ALIBABA-CN-NET,"San Jose","North America",NA,"United States",US,,true,"Alibaba (US) Technology Co., Ltd.",37.3387,-121.885,false,"Alibaba.com LLC",true,California,success,America/Los_Angeles,95141,1739317448,1739413379.3135,82,http,http://47.88.59.79:82,false,305.63163757324,77058,53894,58.844462092981,47.88.59.79
true,1739413379.2239,elite,1951.9510560545,1710634251.4411,"AS45102 Alibaba (US) Technology Co., Ltd.",ALIBABA-CN-NET,Singapore,Asia,AS,Singapore,SG,"Central Water Catchment",true,"Alibaba Cloud (Singapore) Private Limited",1.35208,103.82,false,"Alibaba.com Singapore E-Commerce Private Limited",true,"North West",success,Asia/Singapore,858877,1739317330,1739413379.2239,80,http,http://8.219.97.248:80,false,427.15263366699,338498,121413,73.600761886539,8.219.97.248
true,1739413306.1763,elite,4014.3550932407,1738118542.9449,"AS36666 GloboTech Communications",GTCOMM,Montreal,"North America",NA,Canada,CA,Ville-Marie,true,"GloboTech Communications",45.5049,-73.573,false,,true,Quebec,success,America/Toronto,H4X,1739007045,1739413379.2156,1147,http,http://67.43.228.250:1147,false,498.54230880737,40,4876,0.81366965012205,67.43.228.250
