proxy,status,location,real_location,error
http://67.43.227.228:5621,0,America/Toronto,Failed,"ProxyError: HTTPSConnectionPool(host='ipinfo.io', port=443): Max retries exceeded with url: /json (Caused by ProxyError('Unable to connect to proxy', NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7166b677a5c0>: Failed to establish a new connection: [Errno 111] Connection refused')))"
http://45.144.64.153:8080,0,Europe/Moscow,Failed,"ConnectionError: ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))"
http://98.64.128.182:3128,0,Europe/Amsterdam,Failed,"ConnectionError: ('Connection aborted.', ConnectionResetError(104, 'Connection reset by peer'))"
http://58.243.224.244:8085,0,Asia/Shanghai,Failed,"ProxyError: HTTPSConnectionPool(host='ipinfo.io', port=443): Max retries exceeded with url: /json (Caused by ProxyError('Unable to connect to proxy', OSError('Tunnel connection failed: 400 Bad Request')))"
http://135.181.154.225:80,0,Europe/Helsinki,Failed,"ConnectionError: ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))"
http://23.247.137.142:80,0,America/Los_Angeles,Failed,"ProxyError: HTTPSConnectionPool(host='ipinfo.io', port=443): Max retries exceeded with url: /json (Caused by ProxyError('Unable to connect to proxy', OSError('Tunnel connection failed: 400 Bad Request')))"
http://67.43.228.250:1147,0,America/Toronto,Failed,"ProxyError: HTTPSConnectionPool(host='ipinfo.io', port=443): Max retries exceeded with url: /json (Caused by ProxyError('Unable to connect to proxy', NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7166b67bcf10>: Failed to establish a new connection: [Errno 111] Connection refused')))"
http://47.88.59.79:82,0,America/Los_Angeles,Failed,"ProxyError: HTTPSConnectionPool(host='ipinfo.io', port=443): Max retries exceeded with url: /json (Caused by ProxyError('Unable to connect to proxy', OSError('Tunnel connection failed: 400 Bad Request')))"
http://121.224.156.170:8089,0,Asia/Shanghai,Failed,"ProxyError: HTTPSConnectionPool(host='ipinfo.io', port=443): Max retries exceeded with url: /json (Caused by ProxyError('Unable to connect to proxy', NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7166b7ed5180>: Failed to establish a new connection: [Errno 111] Connection refused')))"
socks4://177.141.211.254:41469,0,America/Sao_Paulo,Failed,"ConnectionError: SOCKSHTTPSConnectionPool(host='ipinfo.io', port=443): Max retries exceeded with url: /json (Caused by NewConnectionError('<urllib3.contrib.socks.SOCKSHTTPSConnection object at 0x7166b7ed5ed0>: Failed to establish a new connection: [Errno 111] Connection refused'))"
